date,price
3/3/2023,7.403
4/3/2023,7.433
5/3/2023,7.433
6/3/2023,7.433
7/3/2023,7.474
8/3/2023,7.474
9/3/2023,7.474
10/3/2023,7.474
11/3/2023,7.474
12/3/2023,7.474
