date,diesel_price,gasoline_price
2021-11-23 00:00:00,6.255,6.216
2021-11-24 00:00:00,6.255,6.206
2021-11-25 00:00:00,6.255,6.206
2021-11-26 00:00:00,6.255,6.206
2021-11-27 00:00:00,6.224,6.155
2021-11-28 00:00:00,6.224,6.155
2021-11-29 00:00:00,6.224,6.155
2021-11-30 00:00:00,6.132,6.062
2021-12-01 00:00:00,6.132,6.062
2021-12-02 00:00:00,6.162,6.124
2021-12-03 00:00:00,6.162,6.124
2021-12-04 00:00:00,6.08,6.011
2021-12-05 00:00:00,6.08,6.011
2021-12-06 00:00:00,6.111,6.055
2021-12-07 00:00:00,6.091,6.062
2021-12-08 00:00:00,6.091,6.062
2021-12-09 00:00:00,6.091,6.062
2021-12-10 00:00:00,6.091,6.062
2021-12-11 00:00:00,6.06,6.032
2021-12-12 00:00:00,6.06,6.032
2021-12-13 00:00:00,6.091,6.083
2021-12-14 00:00:00,6.091,6.083
2021-12-15 00:00:00,6.091,6.083
2021-12-16 00:00:00,6.091,6.101
2021-12-17 00:00:00,6.06,6.101
2021-12-18 00:00:00,6.029,6.042
2021-12-19 00:00:00,6.029,6.042
2021-12-20 00:00:00,6.06,6.093
2021-12-21 00:00:00,6.06,6.093
2021-12-22 00:00:00,6.019,6.062
2021-12-23 00:00:00,6.039,6.062
2021-12-24 00:00:00,6.039,6.062
2021-12-25 00:00:00,6.009,6.021
2021-12-26 00:00:00,6.009,6.021
2021-12-27 00:00:00,6.039,6.062
2021-12-28 00:00:00,6.08,6.114
2021-12-29 00:00:00,6.101,6.124
2021-12-30 00:00:00,6.111,6.16
2021-12-31 00:00:00,6.111,6.183
2022-01-01 00:00:00,6.142,6.196
2022-01-02 00:00:00,6.152,6.216
2022-01-03 00:00:00,6.152,6.216
2022-01-04 00:00:00,6.183,6.267
2022-01-05 00:00:00,6.193,6.267
2022-01-06 00:00:00,6.221,6.288
2022-01-07 00:00:00,6.27,6.319
2022-01-08 00:00:00,6.255,6.319
2022-01-09 00:00:00,6.255,6.319
2022-01-10 00:00:00,6.306,6.37
2022-01-11 00:00:00,6.326,6.401
2022-01-12 00:00:00,6.337,6.401
2022-01-13 00:00:00,6.367,6.431
2022-01-14 00:00:00,6.367,6.431
2022-01-15 00:00:00,6.367,6.431
2022-01-16 00:00:00,6.398,6.452
2022-01-17 00:00:00,6.419,6.472
2022-01-18 00:00:00,6.449,6.503
2022-01-19 00:00:00,6.48,6.524
2022-01-20 00:00:00,6.501,6.565
2022-01-21 00:00:00,6.531,6.585
2022-01-22 00:00:00,6.531,6.585
2022-01-23 00:00:00,6.552,6.595
2022-01-24 00:00:00,6.552,6.595
2022-01-25 00:00:00,6.562,6.647
2022-01-26 00:00:00,6.562,6.647
2022-01-27 00:00:00,6.603,6.667
2022-01-28 00:00:00,6.652,6.698
2022-01-29 00:00:00,6.654,6.698
2022-01-30 00:00:00,6.685,6.739
2022-01-31 00:00:00,6.685,6.739
2022-02-01 00:00:00,6.685,6.739
2022-02-02 00:00:00,6.693,6.759
2022-02-03 00:00:00,6.711,6.785
2022-02-04 00:00:00,6.731,6.79
2022-02-05 00:00:00,6.767,6.821
2022-02-06 00:00:00,6.767,6.821
2022-02-07 00:00:00,6.788,6.841
2022-02-08 00:00:00,6.829,6.872
2022-02-09 00:00:00,6.829,6.872
2022-02-10 00:00:00,6.859,6.903
2022-02-11 00:00:00,6.88,6.923
2022-02-12 00:00:00,6.9,6.944
2022-02-13 00:00:00,6.9,6.944
2022-02-14 00:00:00,6.9,6.944
2022-02-15 00:00:00,6.957,6.985
2022-02-16 00:00:00,6.993,7.005
2022-02-17 00:00:00,7.013,7.026
2022-02-18 00:00:00,7.013,7.046
2022-02-19 00:00:00,7.013,7.046
2022-02-20 00:00:00,7.013,7.046
2022-02-21 00:00:00,7.034,7.067
2022-02-22 00:00:00,7.034,7.067
2022-02-23 00:00:00,7.085,7.067
2022-02-24 00:00:00,7.126,7.067
2022-02-25 00:00:00,7.151,7.108
2022-02-26 00:00:00,7.157,7.108
2022-02-27 00:00:00,7.169,7.139
2022-02-28 00:00:00,7.198,7.139
2022-03-01 00:00:00,7.208,7.149
2022-03-02 00:00:00,7.208,7.149
2022-03-03 00:00:00,7.239,7.169
2022-03-04 00:00:00,7.31,7.231
2022-03-05 00:00:00,7.341,7.262
2022-03-06 00:00:00,7.341,7.262
2022-03-07 00:00:00,7.42,7.338
2022-03-08 00:00:00,7.423,7.346
2022-03-09 00:00:00,7.608,7.477
2022-03-10 00:00:00,7.608,7.477
2022-03-11 00:00:00,8.146,8.066
2022-03-12 00:00:00,8.176,8.123
2022-03-13 00:00:00,8.176,8.123
2022-03-14 00:00:00,8.176,8.123
2022-03-15 00:00:00,8.176,8.123
2022-03-16 00:00:00,8.174,8.107
2022-03-17 00:00:00,8.082,8.012
2022-03-18 00:00:00,8.082,7.91
2022-03-19 00:00:00,8.12,7.905
2022-03-20 00:00:00,8.133,7.905
2022-03-21 00:00:00,8.133,7.905
2022-03-22 00:00:00,8.138,7.905
2022-03-23 00:00:00,8.179,7.905
2022-03-24 00:00:00,8.271,7.9
2022-03-25 00:00:00,8.312,7.9
2022-03-26 00:00:00,8.358,7.953
2022-03-27 00:00:00,8.417,7.964
2022-03-28 00:00:00,8.463,7.964
2022-03-29 00:00:00,8.502,7.964
2022-03-30 00:00:00,8.502,8.01
2022-03-31 00:00:00,8.502,7.977
2022-04-01 00:00:00,8.512,7.977
2022-04-02 00:00:00,8.515,7.925
2022-04-03 00:00:00,8.543,7.925
